group,id_user,font,champ,wpm,font_fam,score,passage_fam,passage_int,user_type,is_best?,is_worst?
plt2_mturk,166,noto_sans,,362.3,2,1,1,4,plt2_mturk,1,0
plt2_mturk,155,helvetica,,433.8,1,1,1,2,plt2_mturk,1,0
csail_framingham,10,noto_sans,,166.5,2,0.75,4,2,csail_framingham,0,0
plt2_mturk,198,garamond,,427.5,2,1,5,5,plt2_mturk,1,0
plt2_mturk,211,times,,425.3,3,1,5,4,plt2_mturk,1,0
usertesting_exp2_pilot,26,oswald,,420,3,0.75,3,3,usertesting_exp2_pilot,0,1
plt2_mturk,165,helvetica,,420,3,0.75,4,1,plt2_mturk,0,1
csail_framingham,15,times,,418,3,1,3,2,csail_framingham,1,0
usertesting_exp2_pilot,24,montserrat,1,380.6,1,0.88,2,3,usertesting_exp2_pilot,0,0
usertesting_exp2_pilot,31,poynter_gothic_text,,415.3,1,1,1,4,usertesting_exp2_pilot,1,0
plt2_mturk,158,montserrat,,410.3,3,0.75,3,3,plt2_mturk,0,0
plt2_mturk,151,roboto,,409.3,1,1,3,2,plt2_mturk,1,0
plt2_mturk,151,montserrat,,342.3,1,1,2,2,plt2_mturk,1,0
usertesting_exp2_pilot,30,arial,,408.3,2,0.75,2,3,usertesting_exp2_pilot,0,0
usertesting_exp2_pilot,24,noto_sans,,403.3,1,0.25,4,4,usertesting_exp2_pilot,0,1
usertesting_exp2_pilot,29,open_sans,,402.8,2,1,1,1,usertesting_exp2_pilot,1,0
plt2_mturk,166,calibri,,399.5,2,1,4,5,plt2_mturk,1,0
usertesting_exp2_pilot,29,montserrat,1,426.6,3,0.75,1,3,usertesting_exp2_pilot,0,0
csail_framingham,12,garamond,1,392.3,2,1,2,2,csail_framingham,1,0
plt2_mturk,150,times,,391.5,1,1,1,3,plt2_mturk,1,0
usertesting_exp2_pilot,21,arial,1,390.3,3,0.75,3,2,usertesting_exp2_pilot,0,0
plt2_mturk,156,utopia,,387,2,0.75,4,2,plt2_mturk,0,0
plt2_mturk,165,noto_sans,,382.3,2,1,5,1,plt2_mturk,1,0
csail_framingham,15,utopia,1,380.5,2,1,2,4,csail_framingham,1,0
usertesting_exp2_pilot,21,calibri,,380.3,2,0.75,1,2,usertesting_exp2_pilot,0,0
usertesting_exp2_pilot,31,open_sans,,380,2,1,1,2,usertesting_exp2_pilot,1,0
plt2_mturk,156,poynter_gothic_text,,378.5,1,1,3,3,plt2_mturk,1,0
plt2_mturk,165,open_sans,,376.5,2,1,4,2,plt2_mturk,1,0
plt2_mturk,156,open_sans,,376.3,1,1,3,3,plt2_mturk,1,0
usertesting_exp2_pilot,26,lato,,375.5,3,1,4,2,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,29,poynter_gothic_text,,375.3,2,1,1,3,usertesting_exp2_pilot,1,0
csail_framingham,14,open_sans,,374.5,1,1,5,2,csail_framingham,1,0
plt2_mturk,167,utopia,,372.8,1,1,2,3,plt2_mturk,1,0
plt2_mturk,191,montserrat,,319.6,2,0.88,4,4,plt2_mturk,0,0
plt2_mturk,164,garamond,,367,1,0.75,5,1,plt2_mturk,0,0
plt2_mturk,164,roboto,,366.5,2,0.5,2,2,plt2_mturk,0,1
usertesting_exp2_pilot,33,utopia,,366.3,2,1,1,2,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,33,poynter_gothic_text,,365.8,1,1,4,1,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,26,garamond,1,365,3,0.75,3,3,usertesting_exp2_pilot,0,0
csail_framingham,15,noto_sans,,364.3,1,1,3,3,csail_framingham,1,0
plt2_mturk,198,franklin_gothic,,453,3,0.5,5,5,plt2_mturk,0,1
plt2_mturk,151,calibri,,362,3,1,2,3,plt2_mturk,1,0
plt2_mturk,151,utopia,,357.3,1,1,2,2,plt2_mturk,1,0
plt2_mturk,164,noto_sans,,353.5,1,1,1,4,plt2_mturk,1,0
plt2_mturk,160,avantgarde,,353,3,0.75,1,2,plt2_mturk,0,0
plt2_mturk,158,poynter_gothic_text,,347.3,2,0.5,3,3,plt2_mturk,0,1
usertesting_exp2_pilot,21,poynter_gothic_text,,346,1,1,3,2,usertesting_exp2_pilot,1,0
plt2_mturk,191,helvetica,,344.8,2,0.75,4,4,plt2_mturk,0,1
usertesting_exp2_pilot,24,utopia,,219.3,3,0.5,3,3,usertesting_exp2_pilot,0,1
plt2_mturk,156,franklin_gothic,,342.8,1,0.5,2,2,plt2_mturk,0,1
usertesting_exp2_pilot,27,helvetica,,338.8,2,1,3,2,usertesting_exp2_pilot,1,0
usertesting_exp2_pilot,27,times,1,336,3,1,1,3,usertesting_exp2_pilot,1,0
plt2_mturk,158,times,,294.3,1,1,4,4,plt2_mturk,1,0
usertesting_exp2_pilot,27,roboto,,335.3,2,0.75,4,3,usertesting_exp2_pilot,0,0
usertesting_exp2_pilot,21,helvetica,,335,1,0.75,1,2,usertesting_exp2_pilot,0,1
plt2_mturk,160,lato,,332.5,3,1,2,1,plt2_mturk,1,0
plt2_mturk,160,calibri,,331.5,3,1,3,3,plt2_mturk,1,0
plt2_mturk,164,times,,331.5,2,1,3,3,plt2_mturk,1,0
plt2_mturk,177,franklin_gothic,,331.3,2,1,3,1,plt2_mturk,1,0
plt2_mturk,177,helvetica,,331,3,1,2,3,plt2_mturk,1,0
usertesting_exp2_pilot,23,avantgarde,,330.3,3,0.75,2,3,usertesting_exp2_pilot,0,0
plt2_mturk,150,garamond,,329,1,0.75,1,3,plt2_mturk,0,0
csail_framingham,14,times,,327.3,2,0.75,4,3,csail_framingham,0,1
plt2_mturk,168,roboto,,326,2,0.75,2,1,plt2_mturk,0,0
plt2_mturk,194,avantgarde,,324,1,0.75,3,3,plt2_mturk,0,0
plt2_mturk,211,open_sans,,323.5,3,0.25,5,4,plt2_mturk,0,1
plt2_mturk,158,helvetica,,320.3,3,0.75,4,4,plt2_mturk,0,1
plt2_mturk,160,times,,319,3,1,4,2,plt2_mturk,1,0
plt2_mturk,191,calibri,,318.8,2,0.25,4,4,plt2_mturk,0,1
usertesting_exp2_pilot,32,montserrat,,316,2,0.5,3,3,usertesting_exp2_pilot,0,1
usertesting_exp2_pilot,30,avenir_next,1,285.3,1,1,1,3,usertesting_exp2_pilot,1,0
plt2_mturk,168,open_sans,,315.3,1,1,3,4,plt2_mturk,1,0
usertesting_exp2_pilot,32,roboto,1,313.5,2,0.75,3,4,usertesting_exp2_pilot,0,0
usertesting_exp2_pilot,22,lato,1,313,1,0.88,5,3,usertesting_exp2_pilot,0,0
plt2_mturk,194,times,,306.6,2,0.88,3,3,plt2_mturk,0,0
csail_framingham,14,noto_sans,,304.8,1,1,2,3,csail_framingham,1,0
plt2_mturk,168,avenir_next,1,304.3,1,1,4,3,plt2_mturk,1,0
plt2_mturk,149,times,,302.4,3,0.88,5,3,plt2_mturk,0,0
plt2_mturk,145,garamond,1,301.5,1,0.5,1,4,plt2_mturk,0,1
csail_framingham,10,poynter_gothic_text,,300,2,1,1,1,csail_framingham,1,0
csail_framingham,14,utopia,1,299.8,1,1,2,3,csail_framingham,1,0
csail_framingham,15,poynter_gothic_text,,299.8,2,1,2,2,csail_framingham,1,0
